video,start,end
1,38,51
1,88,102
1,143,162
1,185,210
1,242,259
1,295,313
1,335,367
1,377,395
1,414,441
1,456,477
1,497,519
1,533,550
2,37,58
2,84,119
2,149,179
2,197,230
2,265,286
2,344,358
2,387,417
2,435,459
2,477,505
2,534,553
2,574,601
2,634,650
3,24,56
3,87,124
3,161,194
3,217,252
3,298,317
3,358,389
3,409,441
3,457,486
3,504,529
3,546,576
3,597,623
3,643,670
4,22,49
4,78,115
4,144,175
4,197,232
4,263,294
4,325,353
4,374,406
4,427,451
4,469,496
4,511,538
4,557,585
4,603,631
5,46,82
5,144,166
5,200,226
5,246,276
5,308,340
5,366,391
5,411,431
5,453,478
5,493,515
5,543,560
6,58,83
6,111,136
6,172,200
6,217,252
6,277,305
6,328,360
6,378,405
6,421,445
6,460,486
6,507,530
6,551,571
6,593,620
7,28,57
7,99,122
7,159,184
7,206,233
7,269,298
7,331,364
7,389,412
7,435,457
7,475,503
7,520,544
7,562,581
7,601,622
8,26,50
8,84,107
8,143,163
8,181,208
8,243,265
8,298,325
8,350,373
8,395,413
8,428,460
8,477,502
8,519,543
8,563,589
9,44,69
9,105,128
9,162,181
9,207,229
9,261,284
9,319,340
9,361,388
9,399,422
9,439,457
9,472,498
9,521,541
9,560,583
10,25,48
10,78,110
10,144,172
10,191,221
10,262,281
10,312,335
10,351,377
10,397,419
10,440,467
10,486,511
10,537,554
10,575,599
11,43,64
11,92,107
11,142,162
11,200,214
11,241,259
11,288,310
11,335,364
11,380,393
11,414,434
11,448,463
11,483,505
11,520,536
12,22,46
12,77,98
12,132,158
12,199,223
12,253,276
12,305,325
12,355,377
12,398,418
12,436,459
12,474,495
12,516,536
12,554,574
13,27,50
13,76,97
13,126,147
13,169,190
13,215,234
13,263,280
13,310,331
13,345,362
13,383,404
13,417,437
13,459,482
13,510,526
14,19,42
14,74,97
14,141,165
14,197,218
14,251,277
14,309,333
14,357,380
14,404,426
14,445,469
14,486,510
14,527,550
14,566,599
15,33,60
15,88,108
15,143,162
15,221,243
15,270,291
15,321,338
15,362,383
15,403,422
15,439,459
15,478,504
15,521,540
15,557,574
16,43,60
16,91,109
16,139,156
16,206,226
16,251,273
16,299,319
16,336,353
16,372,387
16,410,424
16,445,458
16,480,494
16,511,528
17,32,54
17,81,101
17,127,146
17,169,187
17,212,234
17,258,276
17,299,318
17,336,350
17,371,391
17,411,426
17,454,474
17,500,524
18,47,63
18,94,118
18,159,184
18,217,244
18,280,314
18,353,380
18,407,435
18,462,490
18,513,532
18,561,587
18,611,633
18,661,689
19,29,47
19,77,94
19,124,147
19,179,202
19,232,257
19,287,312
19,337,362
19,382,405
19,426,449
19,470,489
19,515,535
19,556,578
20,25,44
20,68,87
20,113,132
20,163,183
20,208,224
20,254,281
20,305,318
20,339,362
20,385,404
20,423,449
20,465,488
20,501,519
21,37,55
21,85,110
21,145,165
21,191,210
21,246,266
21,303,328
21,364,381
21,399,418
21,437,457
21,475,498
21,522,541
21,560,584
22,29,46
22,79,97
22,132,151
22,172,193
22,220,237
22,266,285
22,313,329
22,350,367
22,383,400
22,422,444
22,461,479
22,491,511
23,17,30
23,67,83
23,120,137
23,157,174
23,204,217
23,250,265
23,287,300
23,323,339
23,368,379
23,403,419
23,439,458
23,476,499
24,47,65
24,110,130
24,174,192
24,214,243
24,274,295
24,326,346
24,377,394
24,414,436
24,458,477
24,505,520
24,548,561
24,588,604
25,50,66
25,103,120
25,151,171
25,196,217
25,250,272
25,302,321
25,351,367
25,389,407
25,434,447
25,472,487
25,510,527
25,545,567
26,34,47
26,83,102
26,131,149
26,174,190
26,221,241
26,271,287
26,313,328
26,344,361
26,375,392
26,414,427
26,449,461
26,483,498
27,36,49
27,83,96
27,130,146
27,172,188
27,228,243
27,270,291
27,316,327
27,349,362
27,383,395
27,418,433
27,453,467
27,484,505
28,38,52
28,89,105
28,142,158
28,177,195
28,226,241
28,277,295
28,325,338
28,354,371
28,392,408
28,433,447
28,469,482
28,502,518
29,27,44
29,76,94
29,128,147
29,172,192
29,223,240
29,276,293
29,326,340
29,353,373
29,399,411
29,436,450
29,475,493
29,512,530
30,20,33
30,66,81
30,111,128
30,150,168
30,196,215
30,247,266
30,293,312
30,332,347
30,371,385
30,406,422
30,449,462
30,483,501
31,28,46
31,67,81
31,108,123
31,148,168
31,189,207
31,232,248
31,275,291
31,311,334
31,350,368
31,385,405
31,424,444
31,461,478
32,23,43
32,69,88
32,119,142
32,170,189
32,214,234
32,263,281
32,311,332
32,351,368
32,392,408
32,431,452
32,472,490
32,511,530
33,20,44
33,75,94
33,126,148
33,166,187
33,214,234
33,261,283
33,310,326
33,337,355
33,377,392
33,409,427
33,449,467
33,484,503
34,20,39
34,69,85
34,118,140
34,163,186
34,215,236
34,270,295
34,317,340
34,355,372
34,392,411
34,426,446
34,465,482
34,498,519
35,38,56
35,81,98
35,122,143
35,161,179
35,207,223
35,254,272
35,289,309
35,320,338
35,358,373
35,391,413
35,429,449
35,461,481
36,21,41
36,72,89
36,118,138
36,165,186
36,215,236
36,268,288
36,322,346
36,361,377
36,400,419
36,440,467
36,481,502
36,519,546
37,20,38
37,69,88
37,122,140
37,167,193
37,221,242
37,272,295
37,321,348
37,362,381
37,396,415
37,432,453
37,470,493
37,509,527
38,30,55
38,81,101
38,133,157
38,183,208
38,237,259
38,289,310
38,343,366
38,382,401
38,423,441
38,456,474
38,492,509
38,528,550
39,28,53
39,80,100
39,132,154
39,175,200
39,229,254
39,285,309
39,333,357
39,368,389
39,405,425
39,442,465
39,477,498
39,514,532
40,47,63
40,95,117
40,155,177
40,201,219
40,249,267
40,302,325
40,350,371
40,384,403
40,418,436
40,451,469
40,490,508
40,525,542
41,56,77
41,109,132
41,163,185
41,214,228
41,262,284
41,316,334
41,361,380
41,396,414
41,430,452
41,464,482
41,501,521
41,533,556
42,61,84
42,118,133
42,167,188
42,204,220
42,254,275
42,301,319
42,345,365
42,378,395
42,414,432
42,448,464
42,480,493
42,517,533
43,53,70
43,98,119
43,149,168
43,192,209
43,236,261
43,288,307
43,324,340
43,360,378
43,393,412
43,428,446
43,465,484
43,501,518
44,86,104
44,140,155
44,183,206
44,227,250
44,299,325
44,381,404
44,445,458
44,474,495
44,510,528
44,550,567
44,586,603
44,624,639
45,37,56
45,88,108
45,137,155
45,178,195
45,226,239
45,271,289
45,319,336
45,350,367
45,383,401
45,419,437
45,456,473
45,495,511
46,105,128
46,158,174
46,203,220
46,233,257
46,277,294
46,324,347
46,361,382
46,392,412
46,426,442
46,456,470
46,490,509
46,527,546
47,36,54
47,83,96
47,125,142
47,163,179
47,206,218
47,247,269
47,294,313
47,330,355
47,371,390
47,406,426
47,442,459
47,483,498
48,21,37
48,75,93
48,125,143
48,165,182
48,210,232
48,264,284
48,302,320
48,332,351
48,364,384
48,397,418
48,438,456
48,474,493
49,50,65
49,96,117
49,147,171
49,187,206
49,234,252
49,281,299
49,314,324
49,341,357
49,371,388
49,404,431
49,451,477
49,486,518
50,78,94
50,123,146
50,175,202
50,219,241
50,270,289
50,322,340
50,362,380
50,390,409
50,431,443
50,462,480
50,497,515
50,529,545
51,39,58
51,86,105
51,133,150
51,179,193
51,217,233
51,257,275
51,294,311
51,320,334
51,347,362
51,377,392
51,408,422
51,443,458
52,54,73
52,96,110
52,133,150
52,165,182
52,206,221
52,245,263
52,281,299
52,309,323
52,335,348
52,358,374
52,386,402
52,428,439
53,53,68
53,97,111
53,136,154
53,164,180
53,205,222
53,256,272
53,286,302
53,326,339
53,353,366
53,382,397
53,412,428
53,444,457
54,60,76
54,104,120
54,147,166
54,184,199
54,225,240
54,272,291
54,306,323
54,337,357
54,370,385
54,400,419
54,434,450
54,471,483
55,57,73
55,106,118
55,151,166
55,183,197
55,234,249
55,281,297
55,317,335
55,346,368
55,383,402
55,419,443
55,459,481
55,497,520
56,56,69
56,93,110
56,135,153
56,173,187
56,212,227
56,254,271
56,291,304
56,321,333
56,348,360
56,370,388
56,410,429
56,448,465
57,36,53
57,87,102
57,132,147
57,167,178
57,209,222
57,254,272
57,287,307
57,325,342
57,361,380
57,397,420
57,445,465
57,482,499
58,39,51
58,73,88
58,110,129
58,148,164
58,185,201
58,229,249
58,271,294
58,307,324
58,340,359
58,377,395
58,411,430
58,449,469
59,57,76
59,102,118
59,149,168
59,190,211
59,238,254
59,289,312
59,342,358
59,372,396
59,416,434
59,454,476
59,497,515
59,536,558
60,69,89
60,128,146
60,188,209
60,234,255
60,281,307
60,342,368
60,387,402
60,422,437
60,454,477
60,504,527
